"data_year","offense","age","count","sex","state"
2022,"all","15",517,"female","MI"
2022,"all","16",540,"female","MI"
2022,"all","17",468,"female","MI"
2022,"all","18",834,"female","MI"
2022,"all","19",949,"female","MI"
2022,"all","20",994,"female","MI"
2022,"all","21",1225,"female","MI"
2022,"all","22",1311,"female","MI"
2022,"all","23",1416,"female","MI"
2022,"all","24",1374,"female","MI"
2022,"all","10-12",258,"female","MI"
2022,"all","13-14",841,"female","MI"
2022,"all","25-29",7205,"female","MI"
2022,"all","30-34",7952,"female","MI"
2022,"all","35-39",6125,"female","MI"
2022,"all","40-44",4671,"female","MI"
2022,"all","45-49",2975,"female","MI"
2022,"all","50-54",2207,"female","MI"
2022,"all","55-59",1429,"female","MI"
2022,"all","60-64",1020,"female","MI"
2022,"all","65 and over",642,"female","MI"
2022,"all","Under 10",5,"female","MI"
