"data_year","offense","age","count","sex","state"
2022,"all","15",1219,"male","MI"
2022,"all","16",1359,"male","MI"
2022,"all","17",1384,"male","MI"
2022,"all","18",2250,"male","MI"
2022,"all","19",2436,"male","MI"
2022,"all","20",2640,"male","MI"
2022,"all","21",3102,"male","MI"
2022,"all","22",3175,"male","MI"
2022,"all","23",3210,"male","MI"
2022,"all","24",3383,"male","MI"
2022,"all","10-12",600,"male","MI"
2022,"all","13-14",1532,"male","MI"
2022,"all","25-29",17926,"male","MI"
2022,"all","30-34",19793,"male","MI"
2022,"all","35-39",15261,"male","MI"
2022,"all","40-44",12449,"male","MI"
2022,"all","45-49",8175,"male","MI"
2022,"all","50-54",7054,"male","MI"
2022,"all","55-59",5453,"male","MI"
2022,"all","60-64",3619,"male","MI"
2022,"all","65 and over",2529,"male","MI"
2022,"all","Under 10",32,"male","MI"
