"data_year","offense","age","count","sex","state"
2022,"all","15",712,"female","MN"
2022,"all","16",778,"female","MN"
2022,"all","17",854,"female","MN"
2022,"all","18",860,"female","MN"
2022,"all","19",961,"female","MN"
2022,"all","20",977,"female","MN"
2022,"all","21",908,"female","MN"
2022,"all","22",932,"female","MN"
2022,"all","23",873,"female","MN"
2022,"all","24",910,"female","MN"
2022,"all","10-12",244,"female","MN"
2022,"all","13-14",888,"female","MN"
2022,"all","25-29",4538,"female","MN"
2022,"all","30-34",5111,"female","MN"
2022,"all","35-39",4302,"female","MN"
2022,"all","40-44",3187,"female","MN"
2022,"all","45-49",1781,"female","MN"
2022,"all","50-54",1434,"female","MN"
2022,"all","55-59",996,"female","MN"
2022,"all","60-64",662,"female","MN"
2022,"all","65 and over",485,"female","MN"
2022,"all","Under 10",3,"female","MN"
