"data_year","offense","age","count","sex","state"
2022,"all","15",1429,"male","MN"
2022,"all","16",1727,"male","MN"
2022,"all","17",1911,"male","MN"
2022,"all","18",2315,"male","MN"
2022,"all","19",2520,"male","MN"
2022,"all","20",2468,"male","MN"
2022,"all","21",2296,"male","MN"
2022,"all","22",2408,"male","MN"
2022,"all","23",2434,"male","MN"
2022,"all","24",2162,"male","MN"
2022,"all","10-12",386,"male","MN"
2022,"all","13-14",1600,"male","MN"
2022,"all","25-29",12007,"male","MN"
2022,"all","30-34",13126,"male","MN"
2022,"all","35-39",11258,"male","MN"
2022,"all","40-44",8672,"male","MN"
2022,"all","45-49",5285,"male","MN"
2022,"all","50-54",4312,"male","MN"
2022,"all","55-59",3217,"male","MN"
2022,"all","60-64",2328,"male","MN"
2022,"all","65 and over",1937,"male","MN"
2022,"all","Under 10",11,"male","MN"
