"data_year","offense","age","count","sex","state"
2022,"all","15",607,"female","MO"
2022,"all","16",636,"female","MO"
2022,"all","17",592,"female","MO"
2022,"all","18",992,"female","MO"
2022,"all","19",1249,"female","MO"
2022,"all","20",1243,"female","MO"
2022,"all","21",1207,"female","MO"
2022,"all","22",1170,"female","MO"
2022,"all","23",1180,"female","MO"
2022,"all","24",1161,"female","MO"
2022,"all","10-12",288,"female","MO"
2022,"all","13-14",854,"female","MO"
2022,"all","25-29",6286,"female","MO"
2022,"all","30-34",6873,"female","MO"
2022,"all","35-39",5946,"female","MO"
2022,"all","40-44",4506,"female","MO"
2022,"all","45-49",2699,"female","MO"
2022,"all","50-54",2038,"female","MO"
2022,"all","55-59",1289,"female","MO"
2022,"all","60-64",840,"female","MO"
2022,"all","65 and over",479,"female","MO"
2022,"all","Under 10",18,"female","MO"
