"data_year","offense","age","count","sex","state"
2022,"all","15",1196,"male","MO"
2022,"all","16",1520,"male","MO"
2022,"all","17",1634,"male","MO"
2022,"all","18",2541,"male","MO"
2022,"all","19",2736,"male","MO"
2022,"all","20",2718,"male","MO"
2022,"all","21",2506,"male","MO"
2022,"all","22",2770,"male","MO"
2022,"all","23",2638,"male","MO"
2022,"all","24",2766,"male","MO"
2022,"all","10-12",519,"male","MO"
2022,"all","13-14",1549,"male","MO"
2022,"all","25-29",14803,"male","MO"
2022,"all","30-34",15803,"male","MO"
2022,"all","35-39",13351,"male","MO"
2022,"all","40-44",11038,"male","MO"
2022,"all","45-49",6988,"male","MO"
2022,"all","50-54",5347,"male","MO"
2022,"all","55-59",4243,"male","MO"
2022,"all","60-64",2449,"male","MO"
2022,"all","65 and over",1673,"male","MO"
2022,"all","Under 10",97,"male","MO"
