"data_year","offense","age","count","sex","state"
2022,"all","15",125,"female","MS"
2022,"all","16",129,"female","MS"
2022,"all","17",147,"female","MS"
2022,"all","18",324,"female","MS"
2022,"all","19",354,"female","MS"
2022,"all","20",432,"female","MS"
2022,"all","21",472,"female","MS"
2022,"all","22",457,"female","MS"
2022,"all","23",448,"female","MS"
2022,"all","24",433,"female","MS"
2022,"all","10-12",37,"female","MS"
2022,"all","13-14",168,"female","MS"
2022,"all","25-29",2168,"female","MS"
2022,"all","30-34",2306,"female","MS"
2022,"all","35-39",1965,"female","MS"
2022,"all","40-44",1671,"female","MS"
2022,"all","45-49",1000,"female","MS"
2022,"all","50-54",739,"female","MS"
2022,"all","55-59",459,"female","MS"
2022,"all","60-64",238,"female","MS"
2022,"all","65 and over",147,"female","MS"
2022,"all","Under 10",0,"female","MS"
