"data_year","offense","age","count","sex","state"
2022,"all","15",326,"male","MS"
2022,"all","16",388,"male","MS"
2022,"all","17",448,"male","MS"
2022,"all","18",1065,"male","MS"
2022,"all","19",1151,"male","MS"
2022,"all","20",1099,"male","MS"
2022,"all","21",1162,"male","MS"
2022,"all","22",1153,"male","MS"
2022,"all","23",1061,"male","MS"
2022,"all","24",1000,"male","MS"
2022,"all","10-12",79,"male","MS"
2022,"all","13-14",358,"male","MS"
2022,"all","25-29",5390,"male","MS"
2022,"all","30-34",5455,"male","MS"
2022,"all","35-39",4514,"male","MS"
2022,"all","40-44",3848,"male","MS"
2022,"all","45-49",2438,"male","MS"
2022,"all","50-54",1955,"male","MS"
2022,"all","55-59",1392,"male","MS"
2022,"all","60-64",1031,"male","MS"
2022,"all","65 and over",702,"male","MS"
2022,"all","Under 10",0,"male","MS"
