"data_year","offense","age","count","sex","state"
2022,"all","15",340,"female","MT"
2022,"all","16",269,"female","MT"
2022,"all","17",241,"female","MT"
2022,"all","18",215,"female","MT"
2022,"all","19",222,"female","MT"
2022,"all","20",201,"female","MT"
2022,"all","21",246,"female","MT"
2022,"all","22",187,"female","MT"
2022,"all","23",218,"female","MT"
2022,"all","24",194,"female","MT"
2022,"all","10-12",206,"female","MT"
2022,"all","13-14",529,"female","MT"
2022,"all","25-29",1123,"female","MT"
2022,"all","30-34",1284,"female","MT"
2022,"all","35-39",1209,"female","MT"
2022,"all","40-44",898,"female","MT"
2022,"all","45-49",474,"female","MT"
2022,"all","50-54",348,"female","MT"
2022,"all","55-59",252,"female","MT"
2022,"all","60-64",153,"female","MT"
2022,"all","65 and over",141,"female","MT"
2022,"all","Under 10",6,"female","MT"
