"data_year","offense","age","count","sex","state"
2022,"all","15",451,"male","MT"
2022,"all","16",448,"male","MT"
2022,"all","17",378,"male","MT"
2022,"all","18",419,"male","MT"
2022,"all","19",384,"male","MT"
2022,"all","20",410,"male","MT"
2022,"all","21",425,"male","MT"
2022,"all","22",421,"male","MT"
2022,"all","23",408,"male","MT"
2022,"all","24",475,"male","MT"
2022,"all","10-12",271,"male","MT"
2022,"all","13-14",646,"male","MT"
2022,"all","25-29",2216,"male","MT"
2022,"all","30-34",2824,"male","MT"
2022,"all","35-39",2517,"male","MT"
2022,"all","40-44",1995,"male","MT"
2022,"all","45-49",1246,"male","MT"
2022,"all","50-54",875,"male","MT"
2022,"all","55-59",687,"male","MT"
2022,"all","60-64",515,"male","MT"
2022,"all","65 and over",405,"male","MT"
2022,"all","Under 10",21,"male","MT"
