"data_year","offense","age","count","sex","state"
2022,"all","15",533,"female","NC"
2022,"all","16",544,"female","NC"
2022,"all","17",481,"female","NC"
2022,"all","18",988,"female","NC"
2022,"all","19",1329,"female","NC"
2022,"all","20",1512,"female","NC"
2022,"all","21",1727,"female","NC"
2022,"all","22",1850,"female","NC"
2022,"all","23",1833,"female","NC"
2022,"all","24",1964,"female","NC"
2022,"all","10-12",312,"female","NC"
2022,"all","13-14",750,"female","NC"
2022,"all","25-29",10509,"female","NC"
2022,"all","30-34",11762,"female","NC"
2022,"all","35-39",9546,"female","NC"
2022,"all","40-44",6928,"female","NC"
2022,"all","45-49",4484,"female","NC"
2022,"all","50-54",3362,"female","NC"
2022,"all","55-59",2039,"female","NC"
2022,"all","60-64",1137,"female","NC"
2022,"all","65 and over",788,"female","NC"
2022,"all","Under 10",5,"female","NC"
