"data_year","offense","age","count","sex","state"
2022,"all","15",1369,"male","NC"
2022,"all","16",1473,"male","NC"
2022,"all","17",1601,"male","NC"
2022,"all","18",3472,"male","NC"
2022,"all","19",3949,"male","NC"
2022,"all","20",4331,"male","NC"
2022,"all","21",4491,"male","NC"
2022,"all","22",4737,"male","NC"
2022,"all","23",4826,"male","NC"
2022,"all","24",4823,"male","NC"
2022,"all","10-12",557,"male","NC"
2022,"all","13-14",1751,"male","NC"
2022,"all","25-29",26116,"male","NC"
2022,"all","30-34",27538,"male","NC"
2022,"all","35-39",21384,"male","NC"
2022,"all","40-44",17256,"male","NC"
2022,"all","45-49",11672,"male","NC"
2022,"all","50-54",9700,"male","NC"
2022,"all","55-59",6534,"male","NC"
2022,"all","60-64",4211,"male","NC"
2022,"all","65 and over",2953,"male","NC"
2022,"all","Under 10",42,"male","NC"
