"data_year","offense","age","count","sex","state"
2022,"all","15",327,"female","ND"
2022,"all","16",300,"female","ND"
2022,"all","17",273,"female","ND"
2022,"all","18",349,"female","ND"
2022,"all","19",332,"female","ND"
2022,"all","20",338,"female","ND"
2022,"all","21",273,"female","ND"
2022,"all","22",246,"female","ND"
2022,"all","23",229,"female","ND"
2022,"all","24",258,"female","ND"
2022,"all","10-12",188,"female","ND"
2022,"all","13-14",528,"female","ND"
2022,"all","25-29",1344,"female","ND"
2022,"all","30-34",1433,"female","ND"
2022,"all","35-39",1099,"female","ND"
2022,"all","40-44",734,"female","ND"
2022,"all","45-49",458,"female","ND"
2022,"all","50-54",327,"female","ND"
2022,"all","55-59",233,"female","ND"
2022,"all","60-64",106,"female","ND"
2022,"all","65 and over",78,"female","ND"
2022,"all","Under 10",4,"female","ND"
