"data_year","offense","age","count","sex","state"
2022,"all","15",573,"male","ND"
2022,"all","16",567,"male","ND"
2022,"all","17",517,"male","ND"
2022,"all","18",645,"male","ND"
2022,"all","19",729,"male","ND"
2022,"all","20",621,"male","ND"
2022,"all","21",517,"male","ND"
2022,"all","22",523,"male","ND"
2022,"all","23",552,"male","ND"
2022,"all","24",546,"male","ND"
2022,"all","10-12",346,"male","ND"
2022,"all","13-14",727,"male","ND"
2022,"all","25-29",2997,"male","ND"
2022,"all","30-34",3382,"male","ND"
2022,"all","35-39",2684,"male","ND"
2022,"all","40-44",2000,"male","ND"
2022,"all","45-49",1123,"male","ND"
2022,"all","50-54",889,"male","ND"
2022,"all","55-59",676,"male","ND"
2022,"all","60-64",483,"male","ND"
2022,"all","65 and over",310,"male","ND"
2022,"all","Under 10",7,"male","ND"
