"data_year","offense","age","count","sex","state"
2022,"all","15",352,"female","NE"
2022,"all","16",418,"female","NE"
2022,"all","17",388,"female","NE"
2022,"all","18",491,"female","NE"
2022,"all","19",468,"female","NE"
2022,"all","20",413,"female","NE"
2022,"all","21",395,"female","NE"
2022,"all","22",330,"female","NE"
2022,"all","23",320,"female","NE"
2022,"all","24",300,"female","NE"
2022,"all","10-12",115,"female","NE"
2022,"all","13-14",470,"female","NE"
2022,"all","25-29",1559,"female","NE"
2022,"all","30-34",1634,"female","NE"
2022,"all","35-39",1295,"female","NE"
2022,"all","40-44",1037,"female","NE"
2022,"all","45-49",695,"female","NE"
2022,"all","50-54",391,"female","NE"
2022,"all","55-59",287,"female","NE"
2022,"all","60-64",168,"female","NE"
2022,"all","65 and over",104,"female","NE"
2022,"all","Under 10",4,"female","NE"
