"data_year","offense","age","count","sex","state"
2022,"all","15",746,"male","NE"
2022,"all","16",812,"male","NE"
2022,"all","17",797,"male","NE"
2022,"all","18",1097,"male","NE"
2022,"all","19",1064,"male","NE"
2022,"all","20",1113,"male","NE"
2022,"all","21",936,"male","NE"
2022,"all","22",906,"male","NE"
2022,"all","23",894,"male","NE"
2022,"all","24",890,"male","NE"
2022,"all","10-12",300,"male","NE"
2022,"all","13-14",857,"male","NE"
2022,"all","25-29",4186,"male","NE"
2022,"all","30-34",3853,"male","NE"
2022,"all","35-39",3201,"male","NE"
2022,"all","40-44",2599,"male","NE"
2022,"all","45-49",1755,"male","NE"
2022,"all","50-54",1197,"male","NE"
2022,"all","55-59",843,"male","NE"
2022,"all","60-64",529,"male","NE"
2022,"all","65 and over",440,"male","NE"
2022,"all","Under 10",17,"male","NE"
