"data_year","offense","age","count","sex","state"
2022,"all","15",164,"female","NH"
2022,"all","16",206,"female","NH"
2022,"all","17",246,"female","NH"
2022,"all","18",278,"female","NH"
2022,"all","19",299,"female","NH"
2022,"all","20",294,"female","NH"
2022,"all","21",199,"female","NH"
2022,"all","22",261,"female","NH"
2022,"all","23",203,"female","NH"
2022,"all","24",252,"female","NH"
2022,"all","10-12",28,"female","NH"
2022,"all","13-14",230,"female","NH"
2022,"all","25-29",1488,"female","NH"
2022,"all","30-34",1868,"female","NH"
2022,"all","35-39",1707,"female","NH"
2022,"all","40-44",1212,"female","NH"
2022,"all","45-49",701,"female","NH"
2022,"all","50-54",618,"female","NH"
2022,"all","55-59",476,"female","NH"
2022,"all","60-64",289,"female","NH"
2022,"all","65 and over",256,"female","NH"
2022,"all","Under 10",0,"female","NH"
