"data_year","offense","age","count","sex","state"
2022,"all","15",334,"male","NH"
2022,"all","16",398,"male","NH"
2022,"all","17",500,"male","NH"
2022,"all","18",697,"male","NH"
2022,"all","19",742,"male","NH"
2022,"all","20",749,"male","NH"
2022,"all","21",602,"male","NH"
2022,"all","22",539,"male","NH"
2022,"all","23",535,"male","NH"
2022,"all","24",513,"male","NH"
2022,"all","10-12",56,"male","NH"
2022,"all","13-14",356,"male","NH"
2022,"all","25-29",3285,"male","NH"
2022,"all","30-34",3800,"male","NH"
2022,"all","35-39",3624,"male","NH"
2022,"all","40-44",2705,"male","NH"
2022,"all","45-49",1661,"male","NH"
2022,"all","50-54",1463,"male","NH"
2022,"all","55-59",1255,"male","NH"
2022,"all","60-64",797,"male","NH"
2022,"all","65 and over",597,"male","NH"
2022,"all","Under 10",5,"male","NH"
