"data_year","offense","age","count","sex","state"
2022,"all","15",285,"female","NJ"
2022,"all","16",304,"female","NJ"
2022,"all","17",266,"female","NJ"
2022,"all","18",408,"female","NJ"
2022,"all","19",489,"female","NJ"
2022,"all","20",593,"female","NJ"
2022,"all","21",660,"female","NJ"
2022,"all","22",720,"female","NJ"
2022,"all","23",751,"female","NJ"
2022,"all","24",760,"female","NJ"
2022,"all","10-12",76,"female","NJ"
2022,"all","13-14",326,"female","NJ"
2022,"all","25-29",4441,"female","NJ"
2022,"all","30-34",4688,"female","NJ"
2022,"all","35-39",4299,"female","NJ"
2022,"all","40-44",3206,"female","NJ"
2022,"all","45-49",1817,"female","NJ"
2022,"all","50-54",1664,"female","NJ"
2022,"all","55-59",1248,"female","NJ"
2022,"all","60-64",644,"female","NJ"
2022,"all","65 and over",519,"female","NJ"
2022,"all","Under 10",5,"female","NJ"
