"data_year","offense","age","count","sex","state"
2022,"all","15",870,"male","NJ"
2022,"all","16",996,"male","NJ"
2022,"all","17",1202,"male","NJ"
2022,"all","18",1609,"male","NJ"
2022,"all","19",1921,"male","NJ"
2022,"all","20",2122,"male","NJ"
2022,"all","21",2264,"male","NJ"
2022,"all","22",2329,"male","NJ"
2022,"all","23",2497,"male","NJ"
2022,"all","24",2391,"male","NJ"
2022,"all","10-12",228,"male","NJ"
2022,"all","13-14",947,"male","NJ"
2022,"all","25-29",13748,"male","NJ"
2022,"all","30-34",14496,"male","NJ"
2022,"all","35-39",12073,"male","NJ"
2022,"all","40-44",9859,"male","NJ"
2022,"all","45-49",6745,"male","NJ"
2022,"all","50-54",5781,"male","NJ"
2022,"all","55-59",4341,"male","NJ"
2022,"all","60-64",2659,"male","NJ"
2022,"all","65 and over",2006,"male","NJ"
2022,"all","Under 10",16,"male","NJ"
