"data_year","offense","age","count","sex","state"
2022,"all","15",95,"female","NM"
2022,"all","16",100,"female","NM"
2022,"all","17",89,"female","NM"
2022,"all","18",183,"female","NM"
2022,"all","19",243,"female","NM"
2022,"all","20",280,"female","NM"
2022,"all","21",325,"female","NM"
2022,"all","22",349,"female","NM"
2022,"all","23",419,"female","NM"
2022,"all","24",371,"female","NM"
2022,"all","10-12",61,"female","NM"
2022,"all","13-14",173,"female","NM"
2022,"all","25-29",2132,"female","NM"
2022,"all","30-34",2597,"female","NM"
2022,"all","35-39",1981,"female","NM"
2022,"all","40-44",1378,"female","NM"
2022,"all","45-49",840,"female","NM"
2022,"all","50-54",671,"female","NM"
2022,"all","55-59",420,"female","NM"
2022,"all","60-64",202,"female","NM"
2022,"all","65 and over",138,"female","NM"
2022,"all","Under 10",1,"female","NM"
