"data_year","offense","age","count","sex","state"
2022,"all","15",228,"male","NM"
2022,"all","16",283,"male","NM"
2022,"all","17",308,"male","NM"
2022,"all","18",501,"male","NM"
2022,"all","19",529,"male","NM"
2022,"all","20",634,"male","NM"
2022,"all","21",795,"male","NM"
2022,"all","22",788,"male","NM"
2022,"all","23",928,"male","NM"
2022,"all","24",870,"male","NM"
2022,"all","10-12",104,"male","NM"
2022,"all","13-14",317,"male","NM"
2022,"all","25-29",5267,"male","NM"
2022,"all","30-34",5989,"male","NM"
2022,"all","35-39",5048,"male","NM"
2022,"all","40-44",3824,"male","NM"
2022,"all","45-49",2207,"male","NM"
2022,"all","50-54",1761,"male","NM"
2022,"all","55-59",1306,"male","NM"
2022,"all","60-64",846,"male","NM"
2022,"all","65 and over",587,"male","NM"
2022,"all","Under 10",5,"male","NM"
