"data_year","offense","age","count","sex","state"
2022,"all","15",460,"female","NV"
2022,"all","16",413,"female","NV"
2022,"all","17",373,"female","NV"
2022,"all","18",470,"female","NV"
2022,"all","19",536,"female","NV"
2022,"all","20",665,"female","NV"
2022,"all","21",836,"female","NV"
2022,"all","22",845,"female","NV"
2022,"all","23",858,"female","NV"
2022,"all","24",912,"female","NV"
2022,"all","10-12",192,"female","NV"
2022,"all","13-14",660,"female","NV"
2022,"all","25-29",5077,"female","NV"
2022,"all","30-34",5099,"female","NV"
2022,"all","35-39",4190,"female","NV"
2022,"all","40-44",3028,"female","NV"
2022,"all","45-49",1886,"female","NV"
2022,"all","50-54",1529,"female","NV"
2022,"all","55-59",1007,"female","NV"
2022,"all","60-64",640,"female","NV"
2022,"all","65 and over",501,"female","NV"
2022,"all","Under 10",1,"female","NV"
