"data_year","offense","age","count","sex","state"
2022,"all","15",829,"male","NV"
2022,"all","16",883,"male","NV"
2022,"all","17",943,"male","NV"
2022,"all","18",1019,"male","NV"
2022,"all","19",1175,"male","NV"
2022,"all","20",1167,"male","NV"
2022,"all","21",1360,"male","NV"
2022,"all","22",1463,"male","NV"
2022,"all","23",1727,"male","NV"
2022,"all","24",1863,"male","NV"
2022,"all","10-12",393,"male","NV"
2022,"all","13-14",994,"male","NV"
2022,"all","25-29",11470,"male","NV"
2022,"all","30-34",13179,"male","NV"
2022,"all","35-39",11140,"male","NV"
2022,"all","40-44",8518,"male","NV"
2022,"all","45-49",5659,"male","NV"
2022,"all","50-54",4606,"male","NV"
2022,"all","55-59",3764,"male","NV"
2022,"all","60-64",2360,"male","NV"
2022,"all","65 and over",1768,"male","NV"
2022,"all","Under 10",8,"male","NV"
