"data_year","offense","age","count","sex","state"
2022,"all","15",395,"female","NY"
2022,"all","16",402,"female","NY"
2022,"all","17",435,"female","NY"
2022,"all","18",841,"female","NY"
2022,"all","19",1009,"female","NY"
2022,"all","20",1032,"female","NY"
2022,"all","21",1039,"female","NY"
2022,"all","22",1103,"female","NY"
2022,"all","23",1175,"female","NY"
2022,"all","24",1231,"female","NY"
2022,"all","10-12",130,"female","NY"
2022,"all","13-14",501,"female","NY"
2022,"all","25-29",6900,"female","NY"
2022,"all","30-34",7614,"female","NY"
2022,"all","35-39",6261,"female","NY"
2022,"all","40-44",4046,"female","NY"
2022,"all","45-49",2727,"female","NY"
2022,"all","50-54",2205,"female","NY"
2022,"all","55-59",1714,"female","NY"
2022,"all","60-64",899,"female","NY"
2022,"all","65 and over",622,"female","NY"
2022,"all","Under 10",6,"female","NY"
