"data_year","offense","age","count","sex","state"
2022,"all","15",1048,"male","NY"
2022,"all","16",1175,"male","NY"
2022,"all","17",1442,"male","NY"
2022,"all","18",2157,"male","NY"
2022,"all","19",2443,"male","NY"
2022,"all","20",2607,"male","NY"
2022,"all","21",2922,"male","NY"
2022,"all","22",3162,"male","NY"
2022,"all","23",3165,"male","NY"
2022,"all","24",3359,"male","NY"
2022,"all","10-12",381,"male","NY"
2022,"all","13-14",1284,"male","NY"
2022,"all","25-29",18209,"male","NY"
2022,"all","30-34",20534,"male","NY"
2022,"all","35-39",17105,"male","NY"
2022,"all","40-44",13014,"male","NY"
2022,"all","45-49",8235,"male","NY"
2022,"all","50-54",7071,"male","NY"
2022,"all","55-59",5462,"male","NY"
2022,"all","60-64",3384,"male","NY"
2022,"all","65 and over",2393,"male","NY"
2022,"all","Under 10",41,"male","NY"
