"data_year","offense","age","count","sex","state"
2022,"all","15",1389,"female","OH"
2022,"all","16",1330,"female","OH"
2022,"all","17",1224,"female","OH"
2022,"all","18",1140,"female","OH"
2022,"all","19",1365,"female","OH"
2022,"all","20",1370,"female","OH"
2022,"all","21",1229,"female","OH"
2022,"all","22",1217,"female","OH"
2022,"all","23",1296,"female","OH"
2022,"all","24",1264,"female","OH"
2022,"all","10-12",675,"female","OH"
2022,"all","13-14",2116,"female","OH"
2022,"all","25-29",6389,"female","OH"
2022,"all","30-34",7177,"female","OH"
2022,"all","35-39",5968,"female","OH"
2022,"all","40-44",4648,"female","OH"
2022,"all","45-49",2846,"female","OH"
2022,"all","50-54",2176,"female","OH"
2022,"all","55-59",1411,"female","OH"
2022,"all","60-64",877,"female","OH"
2022,"all","65 and over",605,"female","OH"
2022,"all","Under 10",20,"female","OH"
