"data_year","offense","age","count","sex","state"
2022,"all","15",2483,"male","OH"
2022,"all","16",2526,"male","OH"
2022,"all","17",2518,"male","OH"
2022,"all","18",2675,"male","OH"
2022,"all","19",2799,"male","OH"
2022,"all","20",2842,"male","OH"
2022,"all","21",2911,"male","OH"
2022,"all","22",2916,"male","OH"
2022,"all","23",2926,"male","OH"
2022,"all","24",2955,"male","OH"
2022,"all","10-12",1083,"male","OH"
2022,"all","13-14",3347,"male","OH"
2022,"all","25-29",15343,"male","OH"
2022,"all","30-34",16705,"male","OH"
2022,"all","35-39",14052,"male","OH"
2022,"all","40-44",11643,"male","OH"
2022,"all","45-49",7658,"male","OH"
2022,"all","50-54",6125,"male","OH"
2022,"all","55-59",4682,"male","OH"
2022,"all","60-64",3122,"male","OH"
2022,"all","65 and over",2127,"male","OH"
2022,"all","Under 10",57,"male","OH"
