"data_year","offense","age","count","sex","state"
2022,"all","15",417,"female","OK"
2022,"all","16",388,"female","OK"
2022,"all","17",394,"female","OK"
2022,"all","18",471,"female","OK"
2022,"all","19",479,"female","OK"
2022,"all","20",503,"female","OK"
2022,"all","21",573,"female","OK"
2022,"all","22",517,"female","OK"
2022,"all","23",589,"female","OK"
2022,"all","24",537,"female","OK"
2022,"all","10-12",193,"female","OK"
2022,"all","13-14",682,"female","OK"
2022,"all","25-29",3164,"female","OK"
2022,"all","30-34",3783,"female","OK"
2022,"all","35-39",3477,"female","OK"
2022,"all","40-44",2804,"female","OK"
2022,"all","45-49",1764,"female","OK"
2022,"all","50-54",1259,"female","OK"
2022,"all","55-59",822,"female","OK"
2022,"all","60-64",475,"female","OK"
2022,"all","65 and over",273,"female","OK"
2022,"all","Under 10",5,"female","OK"
