"data_year","offense","age","count","sex","state"
2022,"all","15",844,"male","OK"
2022,"all","16",874,"male","OK"
2022,"all","17",920,"male","OK"
2022,"all","18",1184,"male","OK"
2022,"all","19",1368,"male","OK"
2022,"all","20",1330,"male","OK"
2022,"all","21",1410,"male","OK"
2022,"all","22",1457,"male","OK"
2022,"all","23",1366,"male","OK"
2022,"all","24",1472,"male","OK"
2022,"all","10-12",333,"male","OK"
2022,"all","13-14",1026,"male","OK"
2022,"all","25-29",7540,"male","OK"
2022,"all","30-34",8687,"male","OK"
2022,"all","35-39",7666,"male","OK"
2022,"all","40-44",6352,"male","OK"
2022,"all","45-49",4233,"male","OK"
2022,"all","50-54",3326,"male","OK"
2022,"all","55-59",2312,"male","OK"
2022,"all","60-64",1626,"male","OK"
2022,"all","65 and over",996,"male","OK"
2022,"all","Under 10",11,"male","OK"
