"data_year","offense","age","count","sex","state"
2022,"all","15",309,"female","OR"
2022,"all","16",277,"female","OR"
2022,"all","17",244,"female","OR"
2022,"all","18",273,"female","OR"
2022,"all","19",310,"female","OR"
2022,"all","20",373,"female","OR"
2022,"all","21",491,"female","OR"
2022,"all","22",567,"female","OR"
2022,"all","23",618,"female","OR"
2022,"all","24",626,"female","OR"
2022,"all","10-12",104,"female","OR"
2022,"all","13-14",449,"female","OR"
2022,"all","25-29",3503,"female","OR"
2022,"all","30-34",4227,"female","OR"
2022,"all","35-39",3508,"female","OR"
2022,"all","40-44",2800,"female","OR"
2022,"all","45-49",1779,"female","OR"
2022,"all","50-54",1460,"female","OR"
2022,"all","55-59",1055,"female","OR"
2022,"all","60-64",649,"female","OR"
2022,"all","65 and over",424,"female","OR"
2022,"all","Under 10",2,"female","OR"
