"data_year","offense","age","count","sex","state"
2022,"all","15",641,"male","OR"
2022,"all","16",692,"male","OR"
2022,"all","17",675,"male","OR"
2022,"all","18",880,"male","OR"
2022,"all","19",1002,"male","OR"
2022,"all","20",1172,"male","OR"
2022,"all","21",1501,"male","OR"
2022,"all","22",1673,"male","OR"
2022,"all","23",1721,"male","OR"
2022,"all","24",1859,"male","OR"
2022,"all","10-12",218,"male","OR"
2022,"all","13-14",948,"male","OR"
2022,"all","25-29",11010,"male","OR"
2022,"all","30-34",12881,"male","OR"
2022,"all","35-39",10819,"male","OR"
2022,"all","40-44",8512,"male","OR"
2022,"all","45-49",5549,"male","OR"
2022,"all","50-54",4394,"male","OR"
2022,"all","55-59",3117,"male","OR"
2022,"all","60-64",2220,"male","OR"
2022,"all","65 and over",1774,"male","OR"
2022,"all","Under 10",9,"male","OR"
