"data_year","offense","age","count","sex","state"
2022,"all","15",1024,"female","PA"
2022,"all","16",1002,"female","PA"
2022,"all","17",1102,"female","PA"
2022,"all","18",1157,"female","PA"
2022,"all","19",1247,"female","PA"
2022,"all","20",1297,"female","PA"
2022,"all","21",1260,"female","PA"
2022,"all","22",1292,"female","PA"
2022,"all","23",1321,"female","PA"
2022,"all","24",1385,"female","PA"
2022,"all","10-12",481,"female","PA"
2022,"all","13-14",1528,"female","PA"
2022,"all","25-29",7373,"female","PA"
2022,"all","30-34",8235,"female","PA"
2022,"all","35-39",7087,"female","PA"
2022,"all","40-44",5599,"female","PA"
2022,"all","45-49",3572,"female","PA"
2022,"all","50-54",2865,"female","PA"
2022,"all","55-59",2188,"female","PA"
2022,"all","60-64",1265,"female","PA"
2022,"all","65 and over",1049,"female","PA"
2022,"all","Under 10",4,"female","PA"
