"data_year","offense","age","count","sex","state"
2022,"all","15",128,"female","RI"
2022,"all","16",119,"female","RI"
2022,"all","17",110,"female","RI"
2022,"all","18",123,"female","RI"
2022,"all","19",136,"female","RI"
2022,"all","20",149,"female","RI"
2022,"all","21",141,"female","RI"
2022,"all","22",161,"female","RI"
2022,"all","23",166,"female","RI"
2022,"all","24",129,"female","RI"
2022,"all","10-12",78,"female","RI"
2022,"all","13-14",180,"female","RI"
2022,"all","25-29",815,"female","RI"
2022,"all","30-34",855,"female","RI"
2022,"all","35-39",765,"female","RI"
2022,"all","40-44",513,"female","RI"
2022,"all","45-49",335,"female","RI"
2022,"all","50-54",281,"female","RI"
2022,"all","55-59",235,"female","RI"
2022,"all","60-64",126,"female","RI"
2022,"all","65 and over",93,"female","RI"
2022,"all","Under 10",1,"female","RI"
