"data_year","offense","age","count","sex","state"
2022,"all","15",245,"male","RI"
2022,"all","16",287,"male","RI"
2022,"all","17",300,"male","RI"
2022,"all","18",367,"male","RI"
2022,"all","19",389,"male","RI"
2022,"all","20",452,"male","RI"
2022,"all","21",406,"male","RI"
2022,"all","22",410,"male","RI"
2022,"all","23",429,"male","RI"
2022,"all","24",455,"male","RI"
2022,"all","10-12",125,"male","RI"
2022,"all","13-14",375,"male","RI"
2022,"all","25-29",2399,"male","RI"
2022,"all","30-34",2383,"male","RI"
2022,"all","35-39",2152,"male","RI"
2022,"all","40-44",1628,"male","RI"
2022,"all","45-49",1116,"male","RI"
2022,"all","50-54",939,"male","RI"
2022,"all","55-59",719,"male","RI"
2022,"all","60-64",515,"male","RI"
2022,"all","65 and over",367,"male","RI"
2022,"all","Under 10",1,"male","RI"
