"data_year","offense","age","count","sex","state"
2022,"all","15",576,"female","SC"
2022,"all","16",563,"female","SC"
2022,"all","17",506,"female","SC"
2022,"all","18",838,"female","SC"
2022,"all","19",905,"female","SC"
2022,"all","20",908,"female","SC"
2022,"all","21",994,"female","SC"
2022,"all","22",993,"female","SC"
2022,"all","23",1016,"female","SC"
2022,"all","24",909,"female","SC"
2022,"all","10-12",319,"female","SC"
2022,"all","13-14",927,"female","SC"
2022,"all","25-29",5185,"female","SC"
2022,"all","30-34",5603,"female","SC"
2022,"all","35-39",4703,"female","SC"
2022,"all","40-44",3731,"female","SC"
2022,"all","45-49",2458,"female","SC"
2022,"all","50-54",1900,"female","SC"
2022,"all","55-59",1266,"female","SC"
2022,"all","60-64",811,"female","SC"
2022,"all","65 and over",498,"female","SC"
2022,"all","Under 10",5,"female","SC"
