"data_year","offense","age","count","sex","state"
2022,"all","15",1300,"male","SC"
2022,"all","16",1588,"male","SC"
2022,"all","17",1533,"male","SC"
2022,"all","18",2741,"male","SC"
2022,"all","19",2733,"male","SC"
2022,"all","20",2873,"male","SC"
2022,"all","21",2958,"male","SC"
2022,"all","22",2975,"male","SC"
2022,"all","23",2709,"male","SC"
2022,"all","24",2870,"male","SC"
2022,"all","10-12",515,"male","SC"
2022,"all","13-14",1776,"male","SC"
2022,"all","25-29",14756,"male","SC"
2022,"all","30-34",15670,"male","SC"
2022,"all","35-39",12796,"male","SC"
2022,"all","40-44",10476,"male","SC"
2022,"all","45-49",7234,"male","SC"
2022,"all","50-54",6345,"male","SC"
2022,"all","55-59",4731,"male","SC"
2022,"all","60-64",3160,"male","SC"
2022,"all","65 and over",2257,"male","SC"
2022,"all","Under 10",17,"male","SC"
