"data_year","offense","age","count","sex","state"
2022,"all","15",356,"female","SD"
2022,"all","16",333,"female","SD"
2022,"all","17",372,"female","SD"
2022,"all","18",413,"female","SD"
2022,"all","19",461,"female","SD"
2022,"all","20",438,"female","SD"
2022,"all","21",332,"female","SD"
2022,"all","22",417,"female","SD"
2022,"all","23",411,"female","SD"
2022,"all","24",383,"female","SD"
2022,"all","10-12",151,"female","SD"
2022,"all","13-14",508,"female","SD"
2022,"all","25-29",2090,"female","SD"
2022,"all","30-34",2364,"female","SD"
2022,"all","35-39",1911,"female","SD"
2022,"all","40-44",1307,"female","SD"
2022,"all","45-49",769,"female","SD"
2022,"all","50-54",476,"female","SD"
2022,"all","55-59",287,"female","SD"
2022,"all","60-64",179,"female","SD"
2022,"all","65 and over",113,"female","SD"
2022,"all","Under 10",0,"female","SD"
