"data_year","offense","age","count","sex","state"
2022,"all","15",478,"male","SD"
2022,"all","16",539,"male","SD"
2022,"all","17",587,"male","SD"
2022,"all","18",735,"male","SD"
2022,"all","19",870,"male","SD"
2022,"all","20",874,"male","SD"
2022,"all","21",705,"male","SD"
2022,"all","22",789,"male","SD"
2022,"all","23",768,"male","SD"
2022,"all","24",836,"male","SD"
2022,"all","10-12",273,"male","SD"
2022,"all","13-14",730,"male","SD"
2022,"all","25-29",4457,"male","SD"
2022,"all","30-34",4493,"male","SD"
2022,"all","35-39",4047,"male","SD"
2022,"all","40-44",3304,"male","SD"
2022,"all","45-49",2039,"male","SD"
2022,"all","50-54",1801,"male","SD"
2022,"all","55-59",1445,"male","SD"
2022,"all","60-64",841,"male","SD"
2022,"all","65 and over",504,"male","SD"
2022,"all","Under 10",0,"male","SD"
