"data_year","offense","age","count","sex","state"
2022,"all","15",897,"female","TN"
2022,"all","16",953,"female","TN"
2022,"all","17",841,"female","TN"
2022,"all","18",1194,"female","TN"
2022,"all","19",1413,"female","TN"
2022,"all","20",1601,"female","TN"
2022,"all","21",1732,"female","TN"
2022,"all","22",1826,"female","TN"
2022,"all","23",1884,"female","TN"
2022,"all","24",2117,"female","TN"
2022,"all","10-12",400,"female","TN"
2022,"all","13-14",1303,"female","TN"
2022,"all","25-29",11191,"female","TN"
2022,"all","30-34",12883,"female","TN"
2022,"all","35-39",11853,"female","TN"
2022,"all","40-44",9342,"female","TN"
2022,"all","45-49",5939,"female","TN"
2022,"all","50-54",4142,"female","TN"
2022,"all","55-59",2621,"female","TN"
2022,"all","60-64",1259,"female","TN"
2022,"all","65 and over",826,"female","TN"
2022,"all","Under 10",46,"female","TN"
