"data_year","offense","age","count","sex","state"
2022,"all","15",1778,"male","TN"
2022,"all","16",1977,"male","TN"
2022,"all","17",2106,"male","TN"
2022,"all","18",3537,"male","TN"
2022,"all","19",3845,"male","TN"
2022,"all","20",4203,"male","TN"
2022,"all","21",4345,"male","TN"
2022,"all","22",4541,"male","TN"
2022,"all","23",4581,"male","TN"
2022,"all","24",4798,"male","TN"
2022,"all","10-12",731,"male","TN"
2022,"all","13-14",2341,"male","TN"
2022,"all","25-29",25779,"male","TN"
2022,"all","30-34",28113,"male","TN"
2022,"all","35-39",24369,"male","TN"
2022,"all","40-44",20571,"male","TN"
2022,"all","45-49",13874,"male","TN"
2022,"all","50-54",10733,"male","TN"
2022,"all","55-59",7998,"male","TN"
2022,"all","60-64",4787,"male","TN"
2022,"all","65 and over",3181,"male","TN"
2022,"all","Under 10",103,"male","TN"
