"data_year","offense","age","count","sex","state"
2022,"all","15",2661,"female","TX"
2022,"all","16",2705,"female","TX"
2022,"all","17",3039,"female","TX"
2022,"all","18",3680,"female","TX"
2022,"all","19",3959,"female","TX"
2022,"all","20",3946,"female","TX"
2022,"all","21",4114,"female","TX"
2022,"all","22",4251,"female","TX"
2022,"all","23",4268,"female","TX"
2022,"all","24",4100,"female","TX"
2022,"all","10-12",1254,"female","TX"
2022,"all","13-14",3821,"female","TX"
2022,"all","25-29",21041,"female","TX"
2022,"all","30-34",21903,"female","TX"
2022,"all","35-39",18745,"female","TX"
2022,"all","40-44",13826,"female","TX"
2022,"all","45-49",8593,"female","TX"
2022,"all","50-54",6790,"female","TX"
2022,"all","55-59",4256,"female","TX"
2022,"all","60-64",2470,"female","TX"
2022,"all","65 and over",1528,"female","TX"
2022,"all","Under 10",4,"female","TX"
