"data_year","offense","age","count","sex","state"
2022,"all","15",5786,"male","TX"
2022,"all","16",7115,"male","TX"
2022,"all","17",9312,"male","TX"
2022,"all","18",11402,"male","TX"
2022,"all","19",12013,"male","TX"
2022,"all","20",11657,"male","TX"
2022,"all","21",12579,"male","TX"
2022,"all","22",12402,"male","TX"
2022,"all","23",12247,"male","TX"
2022,"all","24",12339,"male","TX"
2022,"all","10-12",2147,"male","TX"
2022,"all","13-14",7210,"male","TX"
2022,"all","25-29",63870,"male","TX"
2022,"all","30-34",63205,"male","TX"
2022,"all","35-39",52564,"male","TX"
2022,"all","40-44",40384,"male","TX"
2022,"all","45-49",25665,"male","TX"
2022,"all","50-54",19620,"male","TX"
2022,"all","55-59",14404,"male","TX"
2022,"all","60-64",9314,"male","TX"
2022,"all","65 and over",6149,"male","TX"
2022,"all","Under 10",5,"male","TX"
