"data_year","offense","age","count","sex","state"
2022,"all","15",570,"female","UT"
2022,"all","16",694,"female","UT"
2022,"all","17",630,"female","UT"
2022,"all","18",864,"female","UT"
2022,"all","19",815,"female","UT"
2022,"all","20",762,"female","UT"
2022,"all","21",722,"female","UT"
2022,"all","22",660,"female","UT"
2022,"all","23",685,"female","UT"
2022,"all","24",678,"female","UT"
2022,"all","10-12",180,"female","UT"
2022,"all","13-14",884,"female","UT"
2022,"all","25-29",3461,"female","UT"
2022,"all","30-34",4124,"female","UT"
2022,"all","35-39",3740,"female","UT"
2022,"all","40-44",2984,"female","UT"
2022,"all","45-49",1697,"female","UT"
2022,"all","50-54",1191,"female","UT"
2022,"all","55-59",728,"female","UT"
2022,"all","60-64",471,"female","UT"
2022,"all","65 and over",382,"female","UT"
2022,"all","Under 10",3,"female","UT"
