"data_year","offense","age","count","sex","state"
2022,"all","15",1329,"male","UT"
2022,"all","16",1645,"male","UT"
2022,"all","17",1586,"male","UT"
2022,"all","18",1911,"male","UT"
2022,"all","19",1956,"male","UT"
2022,"all","20",1908,"male","UT"
2022,"all","21",1865,"male","UT"
2022,"all","22",1774,"male","UT"
2022,"all","23",1717,"male","UT"
2022,"all","24",1798,"male","UT"
2022,"all","10-12",393,"male","UT"
2022,"all","13-14",1705,"male","UT"
2022,"all","25-29",9408,"male","UT"
2022,"all","30-34",9876,"male","UT"
2022,"all","35-39",8522,"male","UT"
2022,"all","40-44",7091,"male","UT"
2022,"all","45-49",4455,"male","UT"
2022,"all","50-54",3525,"male","UT"
2022,"all","55-59",2447,"male","UT"
2022,"all","60-64",1668,"male","UT"
2022,"all","65 and over",1161,"male","UT"
2022,"all","Under 10",11,"male","UT"
