"data_year","offense","age","count","sex","state"
2022,"all","15",543,"female","VA"
2022,"all","16",550,"female","VA"
2022,"all","17",566,"female","VA"
2022,"all","18",967,"female","VA"
2022,"all","19",1081,"female","VA"
2022,"all","20",1151,"female","VA"
2022,"all","21",1307,"female","VA"
2022,"all","22",1495,"female","VA"
2022,"all","23",1458,"female","VA"
2022,"all","24",1478,"female","VA"
2022,"all","10-12",176,"female","VA"
2022,"all","13-14",757,"female","VA"
2022,"all","25-29",8241,"female","VA"
2022,"all","30-34",9411,"female","VA"
2022,"all","35-39",8243,"female","VA"
2022,"all","40-44",6203,"female","VA"
2022,"all","45-49",3728,"female","VA"
2022,"all","50-54",2988,"female","VA"
2022,"all","55-59",2113,"female","VA"
2022,"all","60-64",1306,"female","VA"
2022,"all","65 and over",1092,"female","VA"
2022,"all","Under 10",22,"female","VA"
