"data_year","offense","age","count","sex","state"
2022,"all","15",1178,"male","VA"
2022,"all","16",1391,"male","VA"
2022,"all","17",1601,"male","VA"
2022,"all","18",2873,"male","VA"
2022,"all","19",3156,"male","VA"
2022,"all","20",3367,"male","VA"
2022,"all","21",3768,"male","VA"
2022,"all","22",3846,"male","VA"
2022,"all","23",3803,"male","VA"
2022,"all","24",3614,"male","VA"
2022,"all","10-12",348,"male","VA"
2022,"all","13-14",1213,"male","VA"
2022,"all","25-29",20276,"male","VA"
2022,"all","30-34",22268,"male","VA"
2022,"all","35-39",19460,"male","VA"
2022,"all","40-44",15083,"male","VA"
2022,"all","45-49",10027,"male","VA"
2022,"all","50-54",8771,"male","VA"
2022,"all","55-59",7024,"male","VA"
2022,"all","60-64",4436,"male","VA"
2022,"all","65 and over",3497,"male","VA"
2022,"all","Under 10",35,"male","VA"
