"data_year","offense","age","count","sex","state"
2022,"all","15",41,"female","VT"
2022,"all","16",18,"female","VT"
2022,"all","17",30,"female","VT"
2022,"all","18",49,"female","VT"
2022,"all","19",41,"female","VT"
2022,"all","20",86,"female","VT"
2022,"all","21",60,"female","VT"
2022,"all","22",84,"female","VT"
2022,"all","23",65,"female","VT"
2022,"all","24",69,"female","VT"
2022,"all","10-12",20,"female","VT"
2022,"all","13-14",47,"female","VT"
2022,"all","25-29",554,"female","VT"
2022,"all","30-34",709,"female","VT"
2022,"all","35-39",590,"female","VT"
2022,"all","40-44",355,"female","VT"
2022,"all","45-49",215,"female","VT"
2022,"all","50-54",185,"female","VT"
2022,"all","55-59",125,"female","VT"
2022,"all","60-64",83,"female","VT"
2022,"all","65 and over",78,"female","VT"
2022,"all","Under 10",0,"female","VT"
