"data_year","offense","age","count","sex","state"
2022,"all","15",88,"male","VT"
2022,"all","16",95,"male","VT"
2022,"all","17",93,"male","VT"
2022,"all","18",155,"male","VT"
2022,"all","19",185,"male","VT"
2022,"all","20",158,"male","VT"
2022,"all","21",211,"male","VT"
2022,"all","22",219,"male","VT"
2022,"all","23",148,"male","VT"
2022,"all","24",239,"male","VT"
2022,"all","10-12",35,"male","VT"
2022,"all","13-14",89,"male","VT"
2022,"all","25-29",1192,"male","VT"
2022,"all","30-34",1567,"male","VT"
2022,"all","35-39",1406,"male","VT"
2022,"all","40-44",995,"male","VT"
2022,"all","45-49",566,"male","VT"
2022,"all","50-54",502,"male","VT"
2022,"all","55-59",400,"male","VT"
2022,"all","60-64",291,"male","VT"
2022,"all","65 and over",249,"male","VT"
2022,"all","Under 10",1,"male","VT"
