"data_year","offense","age","count","sex","state"
2022,"all","15",391,"female","WA"
2022,"all","16",417,"female","WA"
2022,"all","17",350,"female","WA"
2022,"all","18",563,"female","WA"
2022,"all","19",646,"female","WA"
2022,"all","20",595,"female","WA"
2022,"all","21",816,"female","WA"
2022,"all","22",862,"female","WA"
2022,"all","23",899,"female","WA"
2022,"all","24",953,"female","WA"
2022,"all","10-12",170,"female","WA"
2022,"all","13-14",612,"female","WA"
2022,"all","25-29",5314,"female","WA"
2022,"all","30-34",5894,"female","WA"
2022,"all","35-39",4862,"female","WA"
2022,"all","40-44",3446,"female","WA"
2022,"all","45-49",2170,"female","WA"
2022,"all","50-54",1737,"female","WA"
2022,"all","55-59",1060,"female","WA"
2022,"all","60-64",777,"female","WA"
2022,"all","65 and over",629,"female","WA"
2022,"all","Under 10",0,"female","WA"
