"data_year","offense","age","count","sex","state"
2022,"all","15",867,"male","WA"
2022,"all","16",981,"male","WA"
2022,"all","17",971,"male","WA"
2022,"all","18",1394,"male","WA"
2022,"all","19",1706,"male","WA"
2022,"all","20",1766,"male","WA"
2022,"all","21",2163,"male","WA"
2022,"all","22",2417,"male","WA"
2022,"all","23",2564,"male","WA"
2022,"all","24",2636,"male","WA"
2022,"all","10-12",249,"male","WA"
2022,"all","13-14",1117,"male","WA"
2022,"all","25-29",16324,"male","WA"
2022,"all","30-34",17816,"male","WA"
2022,"all","35-39",14913,"male","WA"
2022,"all","40-44",11026,"male","WA"
2022,"all","45-49",6554,"male","WA"
2022,"all","50-54",5220,"male","WA"
2022,"all","55-59",3629,"male","WA"
2022,"all","60-64",2457,"male","WA"
2022,"all","65 and over",1950,"male","WA"
2022,"all","Under 10",14,"male","WA"
