"data_year","offense","age","count","sex","state"
2022,"all","15",1935,"female","WI"
2022,"all","16",1945,"female","WI"
2022,"all","17",1765,"female","WI"
2022,"all","18",1714,"female","WI"
2022,"all","19",1854,"female","WI"
2022,"all","20",1760,"female","WI"
2022,"all","21",1470,"female","WI"
2022,"all","22",1429,"female","WI"
2022,"all","23",1419,"female","WI"
2022,"all","24",1406,"female","WI"
2022,"all","10-12",733,"female","WI"
2022,"all","13-14",2451,"female","WI"
2022,"all","25-29",6843,"female","WI"
2022,"all","30-34",8164,"female","WI"
2022,"all","35-39",6452,"female","WI"
2022,"all","40-44",5006,"female","WI"
2022,"all","45-49",2865,"female","WI"
2022,"all","50-54",2305,"female","WI"
2022,"all","55-59",1644,"female","WI"
2022,"all","60-64",1005,"female","WI"
2022,"all","65 and over",753,"female","WI"
2022,"all","Under 10",21,"female","WI"
