"data_year","offense","age","count","sex","state"
2022,"all","15",3445,"male","WI"
2022,"all","16",3781,"male","WI"
2022,"all","17",3890,"male","WI"
2022,"all","18",3816,"male","WI"
2022,"all","19",3934,"male","WI"
2022,"all","20",3556,"male","WI"
2022,"all","21",3584,"male","WI"
2022,"all","22",3415,"male","WI"
2022,"all","23",3239,"male","WI"
2022,"all","24",3317,"male","WI"
2022,"all","10-12",1295,"male","WI"
2022,"all","13-14",4303,"male","WI"
2022,"all","25-29",17083,"male","WI"
2022,"all","30-34",18028,"male","WI"
2022,"all","35-39",15807,"male","WI"
2022,"all","40-44",12271,"male","WI"
2022,"all","45-49",7688,"male","WI"
2022,"all","50-54",5924,"male","WI"
2022,"all","55-59",4924,"male","WI"
2022,"all","60-64",3339,"male","WI"
2022,"all","65 and over",2685,"male","WI"
2022,"all","Under 10",72,"male","WI"
