"data_year","offense","age","count","sex","state"
2022,"all","15",30,"female","WV"
2022,"all","16",31,"female","WV"
2022,"all","17",40,"female","WV"
2022,"all","18",130,"female","WV"
2022,"all","19",104,"female","WV"
2022,"all","20",120,"female","WV"
2022,"all","21",175,"female","WV"
2022,"all","22",179,"female","WV"
2022,"all","23",196,"female","WV"
2022,"all","24",216,"female","WV"
2022,"all","10-12",19,"female","WV"
2022,"all","13-14",39,"female","WV"
2022,"all","25-29",1142,"female","WV"
2022,"all","30-34",1441,"female","WV"
2022,"all","35-39",1405,"female","WV"
2022,"all","40-44",1238,"female","WV"
2022,"all","45-49",799,"female","WV"
2022,"all","50-54",549,"female","WV"
2022,"all","55-59",299,"female","WV"
2022,"all","60-64",146,"female","WV"
2022,"all","65 and over",94,"female","WV"
2022,"all","Under 10",0,"female","WV"
