"data_year","offense","age","count","sex","state"
2022,"all","15",77,"male","WV"
2022,"all","16",84,"male","WV"
2022,"all","17",81,"male","WV"
2022,"all","18",275,"male","WV"
2022,"all","19",323,"male","WV"
2022,"all","20",373,"male","WV"
2022,"all","21",369,"male","WV"
2022,"all","22",419,"male","WV"
2022,"all","23",404,"male","WV"
2022,"all","24",448,"male","WV"
2022,"all","10-12",35,"male","WV"
2022,"all","13-14",84,"male","WV"
2022,"all","25-29",2682,"male","WV"
2022,"all","30-34",3202,"male","WV"
2022,"all","35-39",3012,"male","WV"
2022,"all","40-44",2805,"male","WV"
2022,"all","45-49",1922,"male","WV"
2022,"all","50-54",1332,"male","WV"
2022,"all","55-59",1034,"male","WV"
2022,"all","60-64",732,"male","WV"
2022,"all","65 and over",480,"male","WV"
2022,"all","Under 10",10,"male","WV"
