"data_year","offense","age","count","sex","state"
2022,"all","15",170,"female","WY"
2022,"all","16",149,"female","WY"
2022,"all","17",154,"female","WY"
2022,"all","18",166,"female","WY"
2022,"all","19",148,"female","WY"
2022,"all","20",128,"female","WY"
2022,"all","21",92,"female","WY"
2022,"all","22",97,"female","WY"
2022,"all","23",112,"female","WY"
2022,"all","24",101,"female","WY"
2022,"all","10-12",43,"female","WY"
2022,"all","13-14",280,"female","WY"
2022,"all","25-29",510,"female","WY"
2022,"all","30-34",615,"female","WY"
2022,"all","35-39",524,"female","WY"
2022,"all","40-44",450,"female","WY"
2022,"all","45-49",247,"female","WY"
2022,"all","50-54",154,"female","WY"
2022,"all","55-59",127,"female","WY"
2022,"all","60-64",89,"female","WY"
2022,"all","65 and over",73,"female","WY"
2022,"all","Under 10",3,"female","WY"
