"data_year","offense","age","count","sex","state"
2022,"all","15",293,"male","WY"
2022,"all","16",302,"male","WY"
2022,"all","17",328,"male","WY"
2022,"all","18",403,"male","WY"
2022,"all","19",311,"male","WY"
2022,"all","20",276,"male","WY"
2022,"all","21",210,"male","WY"
2022,"all","22",220,"male","WY"
2022,"all","23",234,"male","WY"
2022,"all","24",237,"male","WY"
2022,"all","10-12",58,"male","WY"
2022,"all","13-14",369,"male","WY"
2022,"all","25-29",1155,"male","WY"
2022,"all","30-34",1254,"male","WY"
2022,"all","35-39",1172,"male","WY"
2022,"all","40-44",947,"male","WY"
2022,"all","45-49",658,"male","WY"
2022,"all","50-54",474,"male","WY"
2022,"all","55-59",413,"male","WY"
2022,"all","60-64",295,"male","WY"
2022,"all","65 and over",279,"male","WY"
2022,"all","Under 10",4,"male","WY"
